id	title	description	link	image_link	availability	price	condition	brand	identifier_exists	product_type
p5	Truss Shampoo Equilibrium Scalp 300ml	Shampoo profissional Truss Equilibrium Scalp 300ml, equilibra a oleosidade do couro cabeludo e prepara pro tratamento.	https://www.lojaachadinhosbrasil.com.br/produto.html?id=p5	https://empreender.nyc3.digitaloceanspaces.com/dropi/fornecedor/produto-175440215968920d6f709e8.png	in stock	117.90 BRL	new	Achadinhos Brasil	no	Saúde e Beleza
p6	Truss Óleo Nutri Infusion 60ml	Óleo capilar Truss Nutri Infusion 60ml, finalizador nutritivo que dá brilho e reduz o frizz sem pesar no cabelo.	https://www.lojaachadinhosbrasil.com.br/produto.html?id=p6	https://empreender.nyc3.digitaloceanspaces.com/dropi/fornecedor/produto-17526736546877ad767e93e.webp	in stock	110.90 BRL	new	Achadinhos Brasil	no	Saúde e Beleza
p7	Cama Pet Atacadão Impermeável Média	Cama pet impermeável tamanho médio, forro removível e lavável — conforto pro seu cão ou gato descansar.	https://www.lojaachadinhosbrasil.com.br/produto.html?id=p7	https://dropi.xpto.app/dropi/fornecedor/produto-17846980936a6054eded393.jpg	in stock	60.90 BRL	new	Achadinhos Brasil	no	Pet Shop
p9	Brinco Orgânico Banhado a Ouro 18K	Brinco orgânico banhado a ouro 18K, design minimalista com cristal — última peça em estoque no fornecedor.	https://www.lojaachadinhosbrasil.com.br/produto.html?id=p9	https://empreender.nyc3.digitaloceanspaces.com/dropi/fornecedor/produto-177335414569b33ca15416f.jpg	in stock	88.90 BRL	new	Achadinhos Brasil	no	Joias e Acessórios
p12	Box Organizador P Color	Box organizador colorido em plástico resistente, ideal pra guardar miudezas em qualquer cômodo da casa.	https://www.lojaachadinhosbrasil.com.br/produto.html?id=p12	https://empreender.nyc3.digitaloceanspaces.com/dropi/fornecedor/produto-17326021416745691db2b6e.jpg	in stock	17.90 BRL	new	Achadinhos Brasil	no	Casa e Decoração
p14	Tapete Peluciado 40x60cm	Tapete peluciado 40x60cm, macio e antiderrapante — aquece o ambiente e é fácil de lavar.	https://www.lojaachadinhosbrasil.com.br/produto.html?id=p14	https://empreender.nyc3.digitaloceanspaces.com/dropi/fornecedor/produto-1770729972698b31f4cfa67.webp	in stock	23.90 BRL	new	Achadinhos Brasil	no	Casa e Decoração
p15	Colher Digital LCD Dosador Medidor Balança de Precisão	Colher digital com balança de precisão embutida e visor LCD — mede ingredientes direto na receita. Última unidade no fornecedor.	https://www.lojaachadinhosbrasil.com.br/produto.html?id=p15	https://empreender.nyc3.digitaloceanspaces.com/dropi/fornecedor/produto-172372689066bdfc2acf4d0.jpg	in stock	48.90 BRL	new	Achadinhos Brasil	no	Casa e Decoração
p24	Areia para Gatos Biodegradável 2kg	Areia biodegradável pra gatos, grãos grossos, 2kg — controla odor e é mais sustentável.	https://www.lojaachadinhosbrasil.com.br/produto.html?id=p24	https://empreender.nyc3.digitaloceanspaces.com/dropi/fornecedor/produto-176111446568f879613682e.png	in stock	44.90 BRL	new	Achadinhos Brasil	no	Pet Shop
p30	Tapete Higiênico Impermeável Pequeno	Tapete higiênico impermeável, tamanho pequeno — praticidade pro dia a dia do pet.	https://www.lojaachadinhosbrasil.com.br/produto.html?id=p30	https://empreender.nyc3.digitaloceanspaces.com/dropi/fornecedor/produto-177738532569f0bf6d385cc.jpg	in stock	41.90 BRL	new	Achadinhos Brasil	no	Pet Shop
p32	Argila Vermelha Facial e Corporal	Argila vermelha facial e corporal, limpeza profunda e efeito revitalizante.	https://www.lojaachadinhosbrasil.com.br/produto.html?id=p32	https://empreender.nyc3.digitaloceanspaces.com/dropi/fornecedor/produto-166517092763407defc188f.jpg	in stock	10.90 BRL	new	Achadinhos Brasil	no	Saúde e Beleza
